date,precipitation,temp_max,temp_min,wind,weather
2012/1/1,0,12.8,5,4.7,drizzle
2012/1/2,10.9,10.6,2.8,4.5,rain
2012/1/3,0.8,11.7,7.2,2.3,rain
2012/1/4,20.3,12.2,5.6,4.7,rain
2012/1/5,1.3,8.9,2.8,6.1,rain
2012/1/6,2.5,4.4,2.2,2.2,rain
2012/1/7,0,7.2,2.8,2.3,rain
2012/1/8,0,10,2.8,2,sun
2012/1/9,4.3,9.4,5,3.4,rain
2012/1/10,1,6.1,0.6,3.4,rain
2012/1/11,0,6.1,-1.1,5.1,sun
2012/1/12,0,6.1,-1.7,1.9,sun
2012/1/13,0,5,-2.8,1.3,sun
2012/1/14,4.1,4.4,0.6,5.3,snow
2012/1/15,5.3,1.1,-3.3,3.2,snow
2012/1/16,2.5,1.7,-2.8,5,snow
2012/1/17,8.1,3.3,0,5.6,snow
2012/1/18,19.8,0,-2.8,5,snow
2012/1/19,15.2,-1.1,-2.8,1.6,snow
2012/1/20,13.5,7.2,-1.1,2.3,snow
2012/1/21,3,8.3,3.3,8.2,rain
2012/1/22,6.1,6.7,2.2,4.8,rain
2012/1/23,0,8.3,1.1,3.6,rain
2012/1/24,8.6,10,2.2,5.1,rain
2012/1/25,8.1,8.9,4.4,5.4,rain
2012/1/26,4.8,8.9,1.1,4.8,rain
2012/1/27,0,6.7,-2.2,1.4,drizzle
2012/1/28,0,6.7,0.6,2.2,rain
2012/1/29,27.7,9.4,3.9,4.5,rain
2012/1/30,3.6,8.3,6.1,5.1,rain
2012/1/31,1.8,9.4,6.1,3.9,rain
2012/2/1,13.5,8.9,3.3,2.7,rain
2012/2/2,0,8.3,1.7,2.6,sun
2012/2/3,0,14.4,2.2,5.3,sun
2012/2/4,0,15.6,5,4.3,sun
2012/2/5,0,13.9,1.7,2.9,sun
2012/2/6,0,16.1,1.7,5,sun
2012/2/7,0.3,15.6,7.8,5.3,rain
2012/2/8,2.8,10,5,2.7,rain
2012/2/9,2.5,11.1,7.8,2.4,rain
2012/2/10,2.5,12.8,6.7,3,rain
2012/2/11,0.8,8.9,5.6,3.4,rain
2012/2/12,1,8.3,5,1.3,rain
2012/2/13,11.4,7.2,4.4,1.4,rain
2012/2/14,2.5,6.7,1.1,3.1,rain
2012/2/15,0,7.2,0.6,1.8,drizzle
2012/2/16,1.8,7.2,3.3,2.1,rain
2012/2/17,17.3,10,4.4,3.4,rain
2012/2/18,6.4,6.7,3.9,8.1,rain
2012/2/19,0,6.7,2.2,4.7,sun
2012/2/20,3,7.8,1.7,2.9,rain
2012/2/21,0.8,10,7.8,7.5,rain
2012/2/22,8.6,10,2.8,5.9,rain
2012/2/23,0,8.3,2.8,3.9,sun
2012/2/24,11.4,6.7,4.4,3.5,rain
2012/2/25,0,7.2,2.8,6.4,rain
2012/2/26,1.3,5,-1.1,3.4,snow
2012/2/27,0,6.7,-2.2,3,sun
2012/2/28,3.6,6.7,-0.6,4.2,snow
2012/2/29,0.8,5,1.1,7,snow
2012/3/1,0,6.1,1.1,3.1,sun
2012/3/2,2,6.7,3.9,5.1,rain
2012/3/3,0,12.2,6.7,7,sun
2012/3/4,0,10.6,6.7,5.6,rain
2012/3/5,6.9,7.8,1.1,6.2,rain
2012/3/6,0.5,6.7,0,2.7,snow
2012/3/7,0,8.9,-1.7,2.7,sun
2012/3/8,0,15.6,0.6,2.5,sun
2012/3/9,3.6,9.4,5,2.8,rain
2012/3/10,10.4,7.2,6.1,3.4,rain
2012/3/11,13.7,6.7,2.8,5.8,rain
2012/3/12,19.3,8.3,0.6,6.2,snow
2012/3/13,9.4,5.6,0.6,5.3,snow
2012/3/14,8.6,7.8,1.1,4.7,rain
2012/3/15,23.9,11.1,5.6,5.8,snow
2012/3/16,8.4,8.9,3.9,5.1,rain
2012/3/17,9.4,10,0.6,3.8,snow
2012/3/18,3.6,5,-0.6,2.7,rain
2012/3/19,2,7.2,-1.1,3,rain
2012/3/20,3.6,7.8,2.2,6.4,rain
2012/3/21,1.3,8.9,1.1,2.5,rain
2012/3/22,4.1,10,1.7,2.1,rain
2012/3/23,0,12.2,0.6,2.8,sun
2012/3/24,0,15,3.3,5.2,sun
2012/3/25,0,13.3,2.2,2.7,rain
2012/3/26,0,12.8,6.1,4.3,drizzle
2012/3/27,4.8,14.4,6.7,3.8,rain
2012/3/28,1.3,10.6,7.2,5.9,rain
2012/3/29,27.4,10,6.1,4.4,rain
2012/3/30,5.6,9.4,5,4.7,rain
2012/3/31,13.2,10,2.8,3.4,rain
2012/4/1,1.5,8.9,4.4,6.8,rain
2012/4/2,0,16.7,4.4,3.1,sun
2012/4/3,1.5,11.7,3.3,3.1,rain
2012/4/4,0,10.6,2.8,2.1,sun
2012/4/5,4.6,9.4,2.8,1.8,snow
2012/4/6,0.3,11.1,3.3,2.6,rain
2012/4/7,0,16.1,1.7,4.3,sun
2012/4/8,0,21.1,7.2,4.1,sun
2012/4/9,0,20,6.1,2.1,sun
2012/4/10,0,17.8,8.9,3.2,rain
2012/4/11,2.3,11.1,7.2,2.6,rain
2012/4/12,0.5,13.9,5.6,2.6,rain
2012/4/13,0,15,3.9,4,drizzle
2012/4/14,0,15.6,3.3,3,sun
2012/4/15,0,16.1,7.2,2.9,rain
2012/4/16,8.1,13.3,6.7,5.8,rain
2012/4/17,1.8,10,4.4,2,rain
2012/4/18,1.8,13.3,7.2,3.9,rain
2012/4/19,10.9,13.9,5,2.6,rain
2012/4/20,6.6,13.3,6.7,2.7,rain
2012/4/21,0,20,4.4,2.3,sun
2012/4/22,0,23.3,8.3,2.6,rain
2012/4/23,0,21.7,8.9,3.5,sun
2012/4/24,4.3,13.9,10,2.8,rain
2012/4/25,10.7,16.7,8.9,2.6,rain
2012/4/26,3.8,13.9,6.7,5.2,rain
2012/4/27,0.8,13.3,6.1,4.8,rain
2012/4/28,0,16.1,8.3,2.5,drizzle
2012/4/29,4.3,15.6,8.9,1.6,rain
2012/4/30,4.3,12.8,7.2,8,rain
2012/5/1,0.5,11.7,6.1,6.4,rain
2012/5/2,0.5,13.3,5.6,2.5,rain
2012/5/3,18.5,11.1,7.2,3.4,rain
2012/5/4,1.8,12.2,6.1,4.6,rain
2012/5/5,0,13.3,5,2.3,sun
2012/5/6,0,17.8,5,2.4,sun
2012/5/7,0,23.9,6.1,2.2,sun
2012/5/8,0,18.3,9.4,3,sun
2012/5/9,0,13.3,6.7,3.9,rain
2012/5/10,0,14.4,3.9,3,sun
2012/5/11,0,18.3,4.4,4.3,sun
2012/5/12,0,24.4,6.7,3.4,sun
2012/5/13,0,25.6,9.4,4.2,sun
2012/5/14,0,26.7,12.8,3.8,sun
2012/5/15,0,24.4,9.4,4.1,drizzle
2012/5/16,0,19.4,9.4,3.5,sun
2012/5/17,0,17.8,6.7,2.9,rain
2012/5/18,0,15.6,7.8,3.1,rain
2012/5/19,0,19.4,7.2,1.5,sun
2012/5/20,6.4,14.4,11.7,1.3,rain
2012/5/21,14,16.7,10,4,rain
2012/5/22,6.1,12.8,8.9,4.8,rain
2012/5/23,0.3,14.4,8.9,6.3,rain
2012/5/24,0,17.2,8.9,3.3,rain
2012/5/25,0,22.2,8.9,3.1,rain
2012/5/26,0,22.2,8.9,3.6,sun
2012/5/27,0,17.2,11.7,3.7,sun
2012/5/28,0,16.7,10,3.4,rain
2012/5/29,0,16.1,7.8,1.8,sun
2012/5/30,0.3,18.9,11.1,1.5,rain
2012/5/31,3.8,17.8,12.2,2.7,rain
2012/6/1,6.6,20,12.8,3.7,rain
2012/6/2,0.3,18.9,10.6,3.7,rain
2012/6/3,0,17.2,9.4,2.9,sun
2012/6/4,1.3,12.8,8.9,3.1,rain
2012/6/5,16,13.3,8.3,3.3,rain
2012/6/6,0,16.1,6.1,3.4,sun
2012/6/7,16.5,16.1,8.9,3.5,rain
2012/6/8,1.5,15,8.3,3,rain
2012/6/9,0,17.2,8.3,4.7,rain
2012/6/10,0,18.9,10,2.9,sun
2012/6/11,0,23.3,10,1.8,rain
2012/6/12,0.8,18.3,12.8,3.9,rain
2012/6/13,0,16.1,11.1,4.3,sun
2012/6/14,0,17.2,10,2.7,sun
2012/6/15,0,22.2,9.4,1.7,sun
2012/6/16,0,21.1,15,4.1,rain
2012/6/17,0,18.9,11.7,6.4,sun
2012/6/18,3,17.2,10,3.8,rain
2012/6/19,1,19.4,10,3,rain
2012/6/20,0,24.4,10,3,sun
2012/6/21,0,23.9,11.7,2.1,sun
2012/6/22,15.7,13.9,11.7,1.9,rain
2012/6/23,8.6,15.6,9.4,2.5,rain
2012/6/24,0,19.4,9.4,2,drizzle
2012/6/25,0.5,19.4,11.1,3.1,rain
2012/6/26,0,18.3,10.6,3.4,rain
2012/6/27,0,22.8,8.9,1.8,sun
2012/6/28,0,22.2,11.7,2.5,rain
2012/6/29,0.3,21.7,15,1.9,rain
2012/6/30,3,20,13.3,2.4,rain
2012/7/1,0,20,12.2,2.3,rain
2012/7/2,2,18.9,11.7,2.1,rain
2012/7/3,5.8,18.3,10.6,6,rain
2012/7/4,0,20.6,9.4,3.8,sun
2012/7/5,0,24.4,10.6,3.1,drizzle
2012/7/6,0,25,11.1,2.1,sun
2012/7/7,0,26.7,12.8,3.8,sun
2012/7/8,0,28.3,14.4,2.8,rain
2012/7/9,1.5,25,12.8,2,rain
2012/7/10,0,23.9,11.1,2.3,drizzle
2012/7/11,0,27.8,13.3,2.9,fog
2012/7/12,0,25.6,13.3,2.7,drizzle
2012/7/13,0.5,23.3,13.9,2.2,rain
2012/7/14,0,25,15,2.2,rain
2012/7/15,0,18.9,13.3,3.8,rain
2012/7/16,0.3,26.1,13.3,2.5,rain
2012/7/17,0,21.7,15,2.6,sun
2012/7/18,0,21.1,14.4,2.9,sun
2012/7/19,0,25,14.4,2.2,sun
2012/7/20,15.2,19.4,13.9,4,rain
2012/7/21,0,23.9,13.9,2.3,sun
2012/7/22,1,20.6,12.2,3.9,rain
2012/7/23,0,18.9,11.1,3.3,rain
2012/7/24,0,23.3,12.2,4.3,sun
2012/7/25,0,26.7,12.8,2.6,sun
2012/7/26,0,25.6,12.8,2.2,drizzle
2012/7/27,0,18.9,13.9,2.8,drizzle
2012/7/28,0,22.2,13.3,1.7,drizzle
2012/7/29,0,22.8,15,2,sun
2012/7/30,0,19.4,13.3,3,sun
2012/7/31,0,22.8,13.9,2.8,sun
2012/8/1,0,23.9,13.3,2.2,drizzle
2012/8/2,0,23.3,12.2,2.5,sun
2012/8/3,0,27.2,12.8,3.9,sun
2012/8/4,0,33.9,16.7,3.7,sun
2012/8/5,0,33.9,17.8,1.9,sun
2012/8/6,0,28.3,15.6,2.5,rain
2012/8/7,0,21.1,15,2.6,drizzle
2012/8/8,0,22.2,15,3.1,sun
2012/8/9,0,24.4,14.4,3.8,drizzle
2012/8/10,0,25.6,12.2,2.3,sun
2012/8/11,0,28.3,13.3,2.5,sun
2012/8/12,0,30.6,15,3,sun
2012/8/13,0,30.6,15,2.8,sun
2012/8/14,0,28.9,13.9,2.8,sun
2012/8/15,0,31.1,16.7,4.7,sun
2012/8/16,0,34.4,18.3,2.8,sun
2012/8/17,0,32.8,16.1,1.8,sun
2012/8/18,0,21.7,14.4,3,drizzle
2012/8/19,0,23.3,15,2.7,drizzle
2012/8/20,0,25.6,15,1.9,sun
2012/8/21,0,23.3,13.3,3,rain
2012/8/22,0,22.2,13.3,2.3,sun
2012/8/23,0,21.1,13.9,3.8,sun
2012/8/24,0,22.2,10,3.3,sun
2012/8/25,0,26.1,11.7,3.2,sun
2012/8/26,0,21.1,12.2,3.4,sun
2012/8/27,0,23.9,13.3,1.8,sun
2012/8/28,0,22.8,12.2,3.2,sun
2012/8/29,0,22.8,13.3,2.4,sun
2012/8/30,0,22.8,12.8,1.9,sun
2012/8/31,0,22.2,10.6,2.9,sun
2012/9/1,0,21.7,10.6,2.1,sun
2012/9/2,0,21.1,10,2,sun
2012/9/3,0,22.8,12.8,3.3,sun
2012/9/4,0,24.4,11.1,3.1,sun
2012/9/5,0,26.1,11.7,2.6,sun
2012/9/6,0,28.3,14.4,4.2,sun
2012/9/7,0,32.2,13.3,3.1,sun
2012/9/8,0,25,13.3,3,sun
2012/9/9,0.3,18.9,13.9,5,rain
2012/9/10,0.3,20,11.7,3.9,rain
2012/9/11,0,20,8.9,4.2,sun
2012/9/12,0,22.2,10,5.6,sun
2012/9/13,0,27.8,11.7,3.6,sun
2012/9/14,0,26.1,11.1,1.5,sun
2012/9/15,0,22.2,11.1,1.9,sun
2012/9/16,0,24.4,9.4,2.3,sun
2012/9/17,0,27.8,11.7,2.2,fog
2012/9/18,0,27.8,11.7,1.4,sun
2012/9/19,0,23.9,11.7,1.9,drizzle
2012/9/20,0,19.4,10,2.5,drizzle
2012/9/21,0,16.1,12.8,2.1,drizzle
2012/9/22,0.3,19.4,11.7,1.1,rain
2012/9/23,0,19.4,10,1.4,fog
2012/9/24,0,21.1,10,1.8,fog
2012/9/25,0,19.4,11.1,1.7,sun
2012/9/26,0,19.4,9.4,1.7,drizzle
2012/9/27,0,22.8,10,1.7,drizzle
2012/9/28,0,25,12.2,1.1,rain
2012/9/29,0,20.6,12.2,4.3,sun
2012/9/30,0,21.1,7.8,3.1,sun
2012/10/1,0,23.3,8.9,3,sun
2012/10/2,0,17.8,10,4.1,sun
2012/10/3,0,18.9,7.8,7.3,sun
2012/10/4,0,18.9,8.3,6.5,sun
2012/10/5,0,21.7,8.9,5.7,sun
2012/10/6,0,23.9,7.8,5.1,sun
2012/10/7,0,23.9,7.8,1.3,sun
2012/10/8,0,21.1,7.8,1.9,sun
2012/10/9,0,16.1,8.9,1.6,drizzle
2012/10/10,0,12.2,8.3,1.4,drizzle
2012/10/11,0,13.9,7.2,1.3,drizzle
2012/10/12,2,13.9,8.9,4.6,rain
2012/10/13,4.8,15.6,12.2,3.9,rain
2012/10/14,16.5,17.8,13.3,3.4,rain
2012/10/15,7.9,17.2,11.1,4.6,rain
2012/10/16,0,16.1,8.3,5.5,sun
2012/10/17,0,14.4,6.1,1.6,sun
2012/10/18,20.8,17.8,6.7,2,rain
2012/10/19,4.8,15,9.4,5.3,rain
2012/10/20,0.5,11.1,6.1,5.7,rain
2012/10/21,6.4,11.7,4.4,2.7,rain
2012/10/22,8.9,7.8,3.3,2.6,rain
2012/10/23,0,11.1,5.6,3,rain
2012/10/24,7.1,11.7,6.1,2.1,rain
2012/10/25,0,11.7,6.7,1.5,sun
2012/10/26,1.5,11.1,7.2,2.5,rain
2012/10/27,23.1,14.4,9.4,5.1,rain
2012/10/28,6.1,14.4,10,3.8,rain
2012/10/29,10.9,15.6,10,4.9,rain
2012/10/30,34.5,15,12.2,2.8,rain
2012/10/31,14.5,15.6,11.1,2.7,rain
2012/11/1,9.7,15,10.6,3,rain
2012/11/2,5.6,15,10.6,1,rain
2012/11/3,0.5,15.6,11.1,3.6,rain
2012/11/4,8.1,17.8,12.8,3.8,rain
2012/11/5,0.8,15,7.8,4,rain
2012/11/6,0.3,12.8,6.7,3.5,rain
2012/11/7,0,12.2,3.9,3.4,rain
2012/11/8,0,10,1.1,3.4,rain
2012/11/9,0,8.9,1.1,2,rain
2012/11/10,0,7.8,-0.6,2.2,sun
2012/11/11,15.2,8.9,1.1,3,rain
2012/11/12,3.6,12.8,6.1,3,rain
2012/11/13,5.3,11.1,7.8,2.5,rain
2012/11/14,0.8,11.1,5,2.6,rain
2012/11/15,0,9.4,2.8,2.4,drizzle
2012/11/16,5.6,9.4,2.2,1.6,rain
2012/11/17,6.1,12.2,6.1,5.3,rain
2012/11/18,7.9,10,6.1,4.9,rain
2012/11/19,54.1,13.3,8.3,6,rain
2012/11/20,3.8,11.1,7.2,4.2,rain
2012/11/21,11.2,8.3,3.9,5.5,rain
2012/11/22,0,8.9,2.8,1.5,rain
2012/11/23,32,9.4,6.1,2.4,rain
2012/11/24,0,8.9,3.9,1.2,rain
2012/11/25,0,8.3,1.1,3.6,drizzle
2012/11/26,0,9.4,1.7,3.8,fog
2012/11/27,0,10,1.7,1.5,sun
2012/11/28,2.8,9.4,2.2,2.9,rain
2012/11/29,1.5,12.8,7.8,4.2,rain
2012/11/30,35.6,15,7.8,4.6,rain
2012/12/1,4.1,13.3,8.3,5.5,rain
2012/12/2,19.6,8.3,7.2,6.2,rain
2012/12/3,13,9.4,7.2,4.4,rain
2012/12/4,14.2,11.7,7.2,6.2,rain
2012/12/5,1.5,8.9,4.4,5,rain
2012/12/6,1.5,7.2,6.1,5.1,rain
2012/12/7,1,7.8,3.3,4.6,rain
2012/12/8,0,6.7,3.3,2,sun
2012/12/9,1.5,6.7,2.8,2.1,rain
2012/12/10,0.5,7.2,5.6,1.8,rain
2012/12/11,3,7.8,5.6,4.5,rain
2012/12/12,8.1,6.7,4.4,2,rain
2012/12/13,2.3,7.2,3.3,2.8,rain
2012/12/14,7.9,6.1,1.1,1.7,rain
2012/12/15,5.3,4.4,0.6,5.1,snow
2012/12/16,22.6,6.7,3.3,5.5,snow
2012/12/17,2,8.3,1.7,9.5,rain
2012/12/18,3.3,3.9,0.6,5.3,snow
2012/12/19,13.7,8.3,1.7,5.8,snow
2012/12/20,13.2,7.2,0.6,3.7,rain
2012/12/21,1.8,8.3,-1.7,1.7,rain
2012/12/22,3.3,8.3,3.9,3.5,rain
2012/12/23,6.6,7.2,3.3,2.5,rain
2012/12/24,0.3,5.6,2.8,2.8,rain
2012/12/25,13.5,5.6,2.8,4.2,snow
2012/12/26,4.6,6.7,3.3,4.9,rain
2012/12/27,4.1,7.8,3.3,3.2,rain
2012/12/28,0,8.3,3.9,1.7,rain
2012/12/29,1.5,5,3.3,1.7,rain
2012/12/30,0,4.4,0,1.8,drizzle
2012/12/31,0,3.3,-1.1,2,drizzle
2013/1/1,0,5,-2.8,2.7,sun
2013/1/2,0,6.1,-1.1,3.2,sun
2013/1/3,4.1,6.7,-1.7,3,rain
2013/1/4,2.5,10,2.2,2.8,rain
2013/1/5,3,6.7,4.4,3.1,rain
2013/1/6,2,7.2,2.8,3,rain
2013/1/7,2.3,10,4.4,7.3,rain
2013/1/8,16.3,11.7,5.6,6.3,rain
2013/1/9,38.4,10,1.7,5.1,rain
2013/1/10,0.3,3.3,-0.6,2.1,snow
2013/1/11,0,2.8,-2.8,1.9,drizzle
2013/1/12,0,2.8,-3.9,2,sun
2013/1/13,0,2.2,-4.4,1.5,sun
2013/1/14,0,3.3,-2.2,1.3,sun
2013/1/15,0,6.7,-0.6,2.3,sun
2013/1/16,0,6.1,-3.9,1.8,drizzle
2013/1/17,0,3.9,-2.8,1,drizzle
2013/1/18,0,3.3,-1.1,1.3,drizzle
2013/1/19,0,1.1,-0.6,1.9,drizzle
2013/1/20,0,3.3,-0.6,2.1,drizzle
2013/1/21,0,2.2,-1.7,1.1,drizzle
2013/1/22,0,3.3,-1.7,0.6,drizzle
2013/1/23,5.1,7.2,2.2,3.1,rain
2013/1/24,5.8,7.2,1.1,2.6,rain
2013/1/25,3,10.6,2.8,2.1,rain
2013/1/26,2.3,8.3,3.9,4.5,rain
2013/1/27,1.8,5.6,3.9,4.5,rain
2013/1/28,7.9,6.1,3.3,3.2,rain
2013/1/29,4.3,8.3,5,3.9,rain
2013/1/30,3.6,8.9,6.7,3.9,rain
2013/1/31,3,9.4,7.2,4,rain
2013/2/1,0.3,11.7,5,2.9,rain
2013/2/2,0,6.1,2.8,2,drizzle
2013/2/3,2.3,8.9,2.8,2.9,rain
2013/2/4,0,10.6,6.7,2.6,rain
2013/2/5,3.3,10,6.7,5.1,rain
2013/2/6,1,10.6,6.1,4.5,rain
2013/2/7,1.3,9.4,3.3,4.1,rain
2013/2/8,0,7.8,2.2,1.3,sun
2013/2/9,0.3,8.3,4.4,1.3,rain
2013/2/10,0,8.9,1.7,2,drizzle
2013/2/11,0.3,8.3,4.4,1.4,rain
2013/2/12,1,11.1,7.2,5.6,rain
2013/2/13,2.3,9.4,7.2,4.1,rain
2013/2/14,1,9.4,5.6,2.2,rain
2013/2/15,0,13.3,5,2.4,drizzle
2013/2/16,0,11.1,3.9,5.6,rain
2013/2/17,0,9.4,4.4,3.4,rain
2013/2/18,0,7.8,3.9,1.9,rain
2013/2/19,0,10.6,1.7,3.4,sun
2013/2/20,1.5,7.8,1.1,2.1,rain
2013/2/21,0.5,6.7,3.9,6.2,rain
2013/2/22,9.4,7.8,3.9,8.1,rain
2013/2/23,0.3,10,3.9,4.6,rain
2013/2/24,0,8.9,5,5.5,rain
2013/2/25,2.3,10.6,3.3,7.1,rain
2013/2/26,0.5,8.9,3.9,3.8,rain
2013/2/27,4.6,10,4.4,1.8,rain
2013/2/28,8.1,11.7,6.7,3.8,rain
2013/3/1,4.1,15,11.1,5.4,rain
2013/3/2,0.8,13.9,5,4.5,rain
2013/3/3,0,11.1,2.2,2.8,sun
2013/3/4,0,13.3,0,3.9,sun
2013/3/5,0,9.4,6.1,2.4,rain
2013/3/6,11.9,7.2,5,4.1,rain
2013/3/7,7.4,12.2,5,2.5,rain
2013/3/8,0,11.7,2.2,2.6,drizzle
2013/3/9,0,12.8,1.1,1.3,fog
2013/3/10,0.8,7.8,3.9,1.6,rain
2013/3/11,1.3,10.6,6.1,1.1,rain
2013/3/12,2,12.8,10,5.7,rain
2013/3/13,2.3,11.7,9.4,3.7,rain
2013/3/14,2.8,11.7,9.4,3,rain
2013/3/15,0,14.4,8.9,4.3,rain
2013/3/16,4.3,10.6,4.4,6.4,rain
2013/3/17,0,8.9,3.9,6.1,sun
2013/3/18,0,11.7,3.9,5.9,rain
2013/3/19,11.7,12.8,1.7,3.4,rain
2013/3/20,9.9,11.1,4.4,7.6,rain
2013/3/21,8.1,10,2.2,4.9,snow
2013/3/22,0,9.4,0.6,2.2,sun
2013/3/23,0,10,1.1,2.6,sun
2013/3/24,0,12.2,0.6,2.1,sun
2013/3/25,0,16.7,4.4,2.8,sun
2013/3/26,0,16.7,6.1,1.7,sun
2013/3/27,0.3,13.3,7.2,1.6,rain
2013/3/28,2,16.1,8.3,1.3,rain
2013/3/29,0,18.3,7.8,2.5,rain
2013/3/30,0,20,5.6,4.4,drizzle
2013/3/31,0,20.6,6.7,2.9,sun
2013/4/1,0,17.2,8.3,3.6,sun
2013/4/2,0,13.9,8.9,2.2,sun
2013/4/3,0,16.7,7.8,1.6,sun
2013/4/4,8.4,14.4,10,3,fog
2013/4/5,18.5,13.9,10,5.6,fog
2013/4/6,12.7,12.2,7.2,5,fog
2013/4/7,39.1,8.3,5,3.9,fog
2013/4/8,0.8,13.3,6.1,3.1,fog
2013/4/9,0,12.2,6.1,2.4,sun
2013/4/10,9.4,15,8.9,6.4,sun
2013/4/11,1.5,12.2,6.7,3.8,fog
2013/4/12,9.7,7.8,4.4,4.6,fog
2013/4/13,9.4,10.6,3.3,5.7,fog
2013/4/14,5.8,12.8,4.4,2.3,fog
2013/4/15,0,13.9,4.4,2.4,fog
2013/4/16,0.3,13.9,3.3,2.6,sun
2013/4/17,0,15,3.9,3.3,drizzle
2013/4/18,5.3,11.7,6.7,4,fog
2013/4/19,20.6,13.3,9.4,4.9,fog
2013/4/20,0,13.9,8.3,5.8,sun
2013/4/21,3.3,12.2,6.7,4.1,sun
2013/4/22,0,16.1,5,4.3,sun
